id,mean_NNMF1,mean_NNMF2,mean_NNMF3,mean_NNMF4,mean_NNMF5,mean_NNMF6,mean_NNMF7,mean_NNMF8,mean_NNMF9,mean_NNMF10,mean_NNMF11,mean_NNMF12,mean_NNMF13,mean_NNMF14,mean_NNMF15
1009,-0.039523,0.013894,-0.001641,-0.052159,-0.046407,-0.01764,0.009317,-0.060825,0.060026,-0.02167,-0.035143,-0.049491,-0.047163,-0.060158,-0.042979
1041,-0.030968,-0.020957,-0.055631,-0.116115,-0.088349,0.027019,0.041659,-0.009045,-0.055827,0.065115,-0.051697,-0.066026,-0.109137,-0.037329,-0.018652
1053,-0.166461,0.006469,-0.008984,-0.222129,-0.252771,-0.159871,-0.242821,-0.26844,-0.29899,-0.294502,-0.188414,-0.299049,-0.193045,-0.189207,-0.178943
1078,-0.061118,-0.137286,-0.03742,-0.064411,-0.079489,-0.019872,-0.055777,-0.125062,-0.174964,-0.147707,-0.183074,-0.1028,0.012432,-0.032177,-0.068431
1085,-0.097767,0.020261,-0.104367,-0.294344,-0.136685,-0.106415,-0.211826,-0.023836,-0.223099,-0.164079,-0.14677,-0.093404,-0.092256,-0.152416,0.001673
1092,-0.190991,0.053097,0.118056,-0.226842,-0.275818,-0.063027,-0.180987,-0.182728,-0.145247,-0.179757,-0.154821,-0.282292,-0.22846,-0.09492,-0.224421
1105,-0.070496,0.234461,0.079751,-0.111892,-0.155417,-0.179475,-0.162946,-0.008812,-0.068419,0.005277,-0.061138,-0.134115,-0.091766,0.025647,-0.095452
1118,-0.090148,0.00925,-0.059045,-0.15461,-0.114599,-0.143213,-0.095171,-0.103076,-0.366385,-0.1968,-0.040672,-0.113211,-0.03194,-0.056977,-0.0147
1123,-0.071641,0.039139,-0.077829,-0.219884,-0.098031,-0.090333,-0.197174,-0.034377,-0.193072,-0.111521,-0.172487,0.000383,-0.156726,-0.132254,-0.010135
1130,-0.096476,-0.004431,-0.001199,-0.199177,-0.268924,-0.019381,-0.140491,-0.036552,-0.039303,-0.183665,-0.142756,0.037051,-0.129777,-0.108135,-0.0353
1142,-0.073654,0.190822,-0.011563,-0.066153,-0.057142,-0.205678,-0.061786,0.044887,-0.149405,-0.109717,-0.047296,-0.057447,-0.117127,-0.021299,-0.119202
1156,-0.039142,-0.077596,0.060762,-0.11907,-0.106387,-0.138331,-0.076438,0.051542,-0.062047,-0.02457,-0.118414,-0.024378,-0.072638,-0.003635,-0.008538
1189,-0.090282,-0.115411,-0.000826,-0.188196,-0.231881,-0.128804,-0.12718,-0.050478,-0.219043,-0.155922,-0.223021,-0.08195,-0.180185,-0.157923,-0.083523
1191,-0.085856,-0.018586,-0.155945,-0.065313,-0.119204,-0.03888,-0.136789,-0.120101,-0.262805,-0.176293,-0.115524,-0.032896,-0.108748,-0.115416,-0.083492
1214,-0.107914,0.129565,0.032226,0.014263,-0.17956,-0.10054,-0.194471,-0.098181,-0.243573,-0.196745,-0.152624,-0.181297,-0.2096,-0.032431,-0.166539
1237,-0.097427,-0.015508,0.082264,-0.144106,-0.178281,-0.167042,-0.192335,-0.061605,-0.205672,-0.237375,-0.127427,-0.137105,-0.097736,-0.108234,-0.181375
1245,-0.076448,-0.022508,-0.070154,-0.189395,-0.169921,-0.156009,-0.170701,-0.019273,-0.176789,-0.109237,-0.085054,-0.090885,-0.045128,-0.00194,-0.103568
1266,-0.087022,0.025924,0.007617,-0.085818,-0.079238,0.006398,-0.099981,-0.156235,-0.035194,-0.201579,-0.005064,-0.213982,-0.02632,-0.007379,0.023915
1279,-0.090978,-0.130518,0.141611,-0.090497,-0.103966,-0.018852,-0.191908,-0.14394,0.059748,-0.142053,-0.165902,-0.148691,-0.091474,-0.047977,0.001392
1293,-0.092625,0.003303,0.155433,-0.021899,-0.134864,-0.111417,-0.010005,-0.126093,-0.110177,-0.176735,-0.026515,-0.063938,-0.074331,-0.094471,-0.087108
1329,-0.058029,0.216396,0.074351,-0.171202,-0.062408,0.12922,0.000001,-0.100424,-0.089392,-0.06872,0.07567,-0.073954,-0.161133,-0.03065,-0.019078
1358,-0.099952,0.045593,0.029655,-0.010679,-0.244424,-0.120072,-0.105992,-0.066268,-0.082469,-0.206087,-0.169697,-0.121917,-0.14466,-0.06948,-0.108175
1400,-0.117086,-0.041991,0.01075,-0.008617,-0.102951,-0.140137,-0.191103,-0.196726,-0.236267,-0.119023,-0.166647,-0.18756,-0.177291,-0.106061,-0.176444
1413,-0.048026,0.078925,-0.121689,-0.028958,-0.166105,-0.021219,-0.110608,-0.028626,-0.009866,-0.043322,-0.155106,-0.137215,-0.135361,0.02677,-0.066935
1428,-0.105553,0.192447,0.098491,-0.046984,-0.268367,0.022194,-0.165213,-0.021971,-0.174485,-0.315372,-0.11664,-0.038297,-0.114873,-0.039249,-0.154356
1435,-0.064517,0.195828,0.05396,-0.097327,-0.230187,0.031946,-0.093412,-0.033903,-0.241324,-0.02837,-0.06759,-0.020445,-0.096782,-0.035827,-0.102593
1447,-0.089959,-0.050609,-0.060026,-0.204668,-0.210277,-0.055568,-0.109125,-0.243314,-0.092597,-0.306429,-0.058181,-0.097628,-0.128955,-0.108692,-0.024203
1459,-0.122861,-0.048263,-0.025288,-0.177304,-0.208788,-0.170908,-0.070266,-0.296913,-0.126894,-0.256549,-0.102705,-0.136958,-0.143987,-0.164486,-0.100777
1461,-0.06258,0.149262,-0.111295,-0.073684,-0.105968,0.009833,-0.024331,-0.020979,-0.117011,-0.077027,-0.090926,0.028748,-0.212678,-0.027599,-0.029278
1486,-0.057608,0.003088,-0.054288,-0.102406,-0.130929,-0.066067,-0.070448,-0.061039,-0.064964,-0.089789,-0.112665,-0.102943,-0.119411,-0.082707,-0.000676
1502,-0.250132,0.01198,0.107679,-0.251531,-0.220873,-0.191035,-0.167415,-0.269609,-0.405448,-0.330702,-0.381021,-0.329237,-0.309679,-0.180066,-0.263318
1515,-0.129604,0.213589,-0.072862,-0.020683,-0.240672,-0.049068,-0.081274,-0.006025,-0.247196,-0.103201,-0.182353,-0.087181,-0.221892,-0.154319,-0.152429
1521,-0.03564,0.124074,0.020615,0.012211,-0.13302,0.085217,0.006838,0.077691,-0.120659,-0.053052,-0.046142,0.021887,-0.146383,-0.040497,-0.035248
1546,-0.096489,-0.005587,0.004261,-0.061543,-0.184224,-0.02261,-0.118644,-0.108763,-0.05254,-0.158356,-0.13376,-0.126185,-0.090052,-0.022354,-0.041961
1554,-0.07958,-0.045814,0.135963,-0.196188,-0.073833,-0.007437,-0.019092,-0.014658,-0.099329,-0.186923,-0.070038,-0.117974,-0.109594,-0.041309,-0.083668
1568,-0.05304,0.157098,-0.067961,-0.010812,-0.199261,0.087471,-0.197707,0.035748,-0.120035,-0.177123,-0.032242,0.026284,-0.097518,-0.058811,-0.015253
1570,-0.019547,0.014863,0.11014,0.061074,-0.070621,-0.10772,0.018997,0.048244,0.009534,0.011874,0.00242,-0.050753,-0.079244,0.043576,-0.011498
1619,-0.094227,-0.025438,-0.041623,-0.212835,-0.107021,-0.046461,-0.240693,-0.226772,-0.213079,-0.154401,-0.134965,-0.198399,-0.174698,-0.068647,-0.114728
1622,-0.1109,-0.18166,0.036763,-0.230534,-0.201588,-0.179143,-0.120615,-0.025351,-0.216595,-0.197718,-0.216826,-0.208484,-0.210008,-0.081929,-0.120796
1636,-0.044307,-0.027537,0.194192,-0.139187,-0.18034,-0.036082,-0.007567,-0.056501,-0.106286,-0.137706,-0.1258,0.089825,-0.0878,-0.12208,-0.075964
1650,-0.048297,-0.023478,-0.022974,-0.080905,-0.092079,-0.04013,-0.074472,-0.114668,-0.042755,-0.089636,-0.079898,-0.074068,-0.190889,-0.073528,-0.005982
1674,-0.099528,0.031731,-0.103252,0.074672,0.043482,-0.120996,-0.154647,-0.082766,-0.128828,-0.173306,-0.138516,-0.179231,-0.072809,-0.08902,-0.026884
1688,-0.163453,0.186622,-0.123034,-0.229343,-0.149685,-0.168702,-0.354755,-0.172906,-0.228589,-0.25002,-0.217362,-0.234468,-0.247346,-0.162339,-0.179724
1703,-0.082897,0.087478,0.014378,-0.124288,-0.037543,-0.049572,0.013363,0.008465,-0.165257,-0.015898,-0.157284,-0.199635,-0.070311,-0.018012,-0.054813
1711,-0.086528,0.124681,-0.017749,-0.141394,-0.213799,0.053838,-0.017236,-0.056961,-0.179483,-0.113178,-0.060377,-0.036696,-0.186297,-0.101059,-0.147345
1725,-0.131537,0.152941,-0.111748,-0.132146,-0.134422,-0.084011,-0.240204,-0.076319,-0.23007,-0.329285,-0.119289,-0.187843,-0.236554,-0.070591,-0.164561
1757,-0.091949,0.06548,-0.01118,0.057123,-0.193545,-0.01873,-0.203675,-0.158051,-0.139898,-0.138173,-0.034743,-0.071499,-0.049989,-0.099658,-0.116114
1769,-0.165898,0.188407,0.033931,-0.137635,-0.351515,-0.076865,-0.321288,-0.060002,-0.214151,-0.316487,-0.306932,-0.11908,-0.188712,-0.158257,-0.194755
1784,-0.103031,-0.002828,0.058908,-0.103204,-0.048772,-0.116659,0.027551,-0.139582,-0.167505,-0.153847,-0.054512,-0.229474,-0.071201,-0.18587,-0.059
1798,-0.051919,0.142957,0.070278,-0.060595,-0.116946,-0.075048,0.124725,0.009245,-0.02226,-0.063863,-0.067115,-0.098608,-0.042964,-0.060937,0.03823
1804,-0.063984,-0.019105,0.016982,0.026437,-0.042531,-0.042116,-0.098576,-0.082259,-0.015448,-0.063861,-0.128671,-0.079446,-0.181413,0.013108,0.002248
1827,-0.107671,0.203047,-0.057769,0.14646,-0.161248,-0.10393,-0.188061,-0.003333,-0.189399,-0.150978,-0.093978,-0.062831,-0.165291,0.002584,-0.160794
1839,-0.092127,0.078898,-0.05975,0.020638,-0.083835,-0.038944,-0.159199,-0.108954,-0.177887,-0.175376,-0.168734,-0.044371,-0.127275,-0.006321,-0.058252
1855,-0.114222,0.124665,-0.037091,-0.248444,-0.083414,0.034708,-0.100253,-0.128309,-0.228264,-0.084781,0.032591,-0.06783,-0.211392,-0.13467,-0.023164
1883,-0.096914,0.298368,0.029797,-0.07563,-0.083835,-0.014613,-0.120776,-0.040177,-0.217356,-0.207004,-0.093178,-0.149416,-0.223726,-0.054541,-0.086574
1924,-0.073373,0.194379,0.050438,-0.021887,-0.174906,0.067763,-0.1384,-0.07802,-0.142142,-0.117422,-0.033252,-0.159508,-0.11063,-0.069383,-0.070786
1938,-0.058585,0.102536,-0.008397,-0.124928,-0.031577,0.034778,-0.051908,0.026256,-0.162849,-0.081598,-0.049916,-0.037761,-0.054418,-0.018221,-0.046551
